city,brand,model,href,price,year,mileage,body_type,colour,engine_info,credit_per_month,transmission,drive,hand_drive,condition,owners_num,doc_unique
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1087250234-9c2dfdf7/,750 000 ₽,2017,48 000 км,седан,белый,1.6 л / 123 л.с. / Бензин,4 305 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1087644706-9e489b7b/,509 000 ₽,2014,152 779 км,седан,белый,1.4 л / 107 л.с. / Бензин,3 210 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1087919249-3cca4e9c/,870 000 ₽,2017,105 000 км,седан,белый,1.6 л / 123 л.с. / Бензин,4 305 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1088039268-24d8927e/,629 500 ₽,2017,51 000 км,седан,красный,1.6 л / 123 л.с. / Бензин,4 305 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1089115970-b402d953/,785 000 ₽,2017,30 000 км,седан,серебристый,1.6 л / 123 л.с. / Бензин,4 305 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1089303350-3227166d/,770 000 ₽,2018,40 000 км,седан,белый,1.6 л / 123 л.с. / Бензин,3 690 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1089396136-77b003d1/,830 000 ₽,2017,52 000 км,седан,чёрный,1.6 л / 123 л.с. / Бензин,4 305 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1089465936-2db754ed/,420 000 ₽,2013,117 532 км,седан,белый,1.4 л / 107 л.с. / Бензин,3 745 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1089738559-2d53cb71/,680 000 ₽,2017,48 000 км,седан,коричневый,1.6 л / 123 л.с. / Бензин,4 305 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1089740459-218e8b6a/,379 000 ₽,2013,106 000 км,седан,серый,1.4 л / 107 л.с. / Бензин,2 996 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1089775902-939473e7/,815 000 ₽,2019,1 050 км,седан,белый,1.6 л / 123 л.с. / Бензин,4 305 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1089846056-692817ef/,780 000 ₽,2017,18 300 км,седан,серебристый,1.6 л / 123 л.с. / Бензин,4 305 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1089901002-f1a32c48/,780 000 ₽,2018,21 000 км,седан,чёрный,1.4 л / 100 л.с. / Бензин,1 000 ₽ / год,автоматическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1089913430-787d09ec/,560 000 ₽,2014,58 000 км,седан,золотистый,1.6 л / 123 л.с. / Бензин,4 059 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1090073822-0de15ab7/,763 000 ₽,2019,2 300 км,седан,белый,1.4 л / 100 л.с. / Бензин,1 000 ₽ / год,механическая,передний,Левый,Не требует ремонта,1 владелец,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1090768744-fed080a1/,440 000 ₽,2013,100 000 км,седан,зелёный,1.4 л / 107 л.с. / Бензин,2 996 ₽ / год,механическая,передний,Левый,Не требует ремонта,2 владельца,Оригинал
kazan,kia,rio,https://auto.ru/cars/used/sale/kia/rio/1090875882-f6fe6244/,565 000 ₽,2016,26 500 км,седан,коричневый,1.6 л / 123 л.с. / Бензин,3 690 ₽ / год,механическая,передний,Левый,Не требует ремонта,3 или более,Оригинал
